Name,CharCount
student3701.c,3902
student2755.c,4113
student8794.c,2577
student1465.c,4108
student8067.c,2879
student1192.c,3073
student9318.c,2248
student4163.c,3370
student1482.c,3074
student4473.c,3261
student1725.c,2738
student4108.c,3021
student7119.c,3207
student8006.c,3031
student7956.c,2841
student7485.c,3313
student7232.c,2696
student6776.c,3380
student4456.c,3269
student2574.c,4597
student3483.c,2858
student4639.c,2690
student8552.c,3259
student2634.c,3025
student6109.c,3006
student8029.c,3091
student6419.c,2645
student4280.c,3760
student8363.c,2476
student6617.c,3431
student1915.c,3048
student4903.c,3209
student7013.c,4151
student5957.c,3867
student2965.c,3066
student2821.c,3146
student9358.c,2895
student6303.c,5792
student6613.c,3540
student8367.c,5309
student3315.c,2650
student7443.c,3543
student7507.c,2834
student9972.c,4001
student9352.c,2783
student5529.c,3402
student9569.c,3619
student2900.c,3322
student2800.c,4031
student1110.c,2785
student6122.c,2796
student1688.c,3511
student8069.c,3400
student2364.c,2666
student4949.c,3094
student8909.c,6593
student3560.c,3410
student3424.c,3252
student4416.c,2690
student8329.c,2944
student2160.c,3003
student2925.c,2481
student9463.c,3154
student8518.c,3416
student1375.c,3848
student2886.c,4089
student6877.c,3266
student3411.c,2792
student2155.c,2567
student1845.c,2257
student5533.c,3414
student7823.c,4015
student8957.c,2750
student7713.c,3321
student4273.c,5760
student5673.c,2967
student2351.c,3847
student8118.c,3090
student1571.c,3816
student3925.c,2248
student6053.c,3030
student7980.c,5096
student4016.c,2683
student8819.c,3476
student5612.c,3488
student3900.c,3785
student2197.c,4089
student4602.c,3498
student4959.c,3048
student2664.c,5889
student5129.c,2965
student9163.c,3389
student9473.c,5258
student6507.c,2813
student3715.c,3337
student5263.c,2810
student8780.c,2999
student4237.c,2929
student5284.c,3029
student7948.c,2825
student6357.c,2726
student7678.c,2797
student2896.c,2607
student2111.c,6433
student9758.c,4126
student4377.c,3781
student1021.c,3609
student8133.c,2647
student5573.c,3288
student8580.c,2674
student6973.c,2866
student3515.c,3619
student9673.c,3140
student8337.c,2990
student3634.c,3736
student8139.c,2827
student2234.c,3504
student8152.c,2972
student2464.c,3480
student7802.c,3785
student7495.c,3913
student5512.c,2692
student7249.c,3024
student4469.c,3493
student9949.c,3220
student1188.c,2951
student1200.c,3269
student7085.c,3566
student5412.c,4608
student6259.c,3088
student6462.c,2898
student4290.c,2649
student5380.c,2702
student4780.c,5384
student6743.c,3591
student6728.c,3172
student3415.c,2647
student8480.c,3521
student6547.c,3344
student6403.c,3555
student2831.c,2846
student7457.c,4015
student3301.c,3030
student2645.c,2839
student2701.c,8066
student9458.c,2751
student1278.c,2898
student7911.c,3117
student5399.c,3157
student1833.c,3348
student9589.c,3334
student8189.c,3003
student5741.c,2731
student4825.c,3255
student3116.c,2633
student4124.c,3606
student5170.c,2641
student3406.c,2889
student1581.c,3791
student2142.c,2693
student9624.c,4255
student8224.c,2904
student8670.c,2894
student7704.c,5351
student9998.c,3747
student1132.c,2443
student1422.c,2960
student7298.c,4956
student6410.c,5054
student1466.c,4701
student8430.c,3189
student1176.c,2691
student8797.c,2929
student6960.c,2716
student3442.c,3230
student6824.c,3101
student6571.c,3402
student7392.c,2725
student8599.c,7006
student1313.c,3253
student7665.c,2942
student9601.c,2928
student8089.c,3283
student6631.c,2960
student3567.c,6042
student9931.c,3247
student3133.c,3087
student3077.c,2903
student4389.c,3154
student2477.c,2606
student5789.c,3269
student5355.c,3993
student3978.c,2581
student1547.c,2796
student4415.c,3092
student4105.c,2615
student1317.c,4362
student9315.c,3126
student5624.c,3187
student4804.c,2977
student8124.c,4014
student9524.c,2601
student7540.c,2737
student5420.c,2464
student8774.c,2862
student4888.c,3476
student8264.c,3231
student5397.c,3129
student9097.c,2763
student8497.c,3616
student1649.c,3007
student4430.c,3822
student8187.c,3235
student3546.c,2525
student6550.c,2936
student3872.c,5437
student4770.c,3076
student5660.c,3277
student2652.c,2810
student2437.c,2817
student4982.c,4328
student1013.c,2779
student3258.c,3138
student8886.c,8242
student2267.c,3818
student7386.c,4064
student6999.c,5107
student3594.c,4042
student7165.c,6433
student1738.c,3388
student2463.c,3227
student7671.c,3966
student7735.c,3243
student3790.c,2734
student3206.c,2410
student4814.c,5054
student8560.c,3299
student9160.c,3545
student5904.c,3122
student3329.c,3972
student8854.c,2891
student1266.c,3654
student4420.c,3326
student6874.c,4413
student2972.c,3381
student4850.c,2606
student8393.c,2611
student3306.c,2934
student3108.c,3377
student2508.c,2977
student5611.c,2815
student4155.c,3102
student2567.c,2473
student9821.c,3538
student8199.c,2857
student8892.c,2960
student9141.c,4543
student3943.c,2911
student9451.c,3653
student8051.c,2559
student7125.c,2832
student1453.c,3515
student5470.c,3331
student1772.c,3533
student8724.c,3679
student3756.c,3436
student8520.c,3516
student1066.c,2738
student6054.c,3137
student4587.c,4176
student1476.c,2394
student6010.c,2730
student2959.c,2718
student2406.c,3917
student2953.c,2932
student5961.c,2807
student4896.c,2808
student7496.c,2785
student2967.c,2683
student3313.c,2562
student9296.c,3079
student4824.c,3304
student6534.c,3261
student7293.c,3784
student6364.c,2757
student8864.c,3256
student1976.c,2696
student6497.c,2816
student5298.c,3515
student4554.c,2717
student8964.c,2562
student4100.c,2745
student7810.c,3675
student8598.c,2687
student2736.c,3401
student4614.c,3108
student4860.c,4157
student1542.c,2863
student8004.c,3167
student3219.c,3797
student2806.c,2803
student4471.c,2865
student4161.c,3165
student2553.c,3594
student1237.c,2749
student1938.c,2476
student5621.c,2739
student8796.c,2898
student2247.c,2825
student9175.c,2651
student6001.c,2859
student8631.c,3063
student7255.c,2739
student3217.c,3724
student6634.c,2784
student7193.c,3389
student3136.c,2835
student2472.c,4409
student9897.c,2473
student8288.c,2804
student3856.c,2793
student5830.c,2742
student2676.c,2691
student5744.c,2581
student5488.c,2613
student8100.c,3102
student1502.c,4524
student2126.c,5322
student2908.c,3526
student2717.c,4711
student3253.c,2898
student4082.c,3091
student9071.c,3277
student6882.c,3994
student2513.c,2936
student4575.c,2519
student2068.c,2845
student1978.c,3478
student3178.c,4219
student5899.c,3101
student7755.c,3642
student1758.c,3158
student9945.c,1759
student1494.c,3472
student2547.c,2952
student6992.c,2824
student4192.c,3286
student6151.c,2664
student8561.c,3048
student5771.c,18708
student5261.c,2338
student3717.c,3014
student4661.c,2824
student1616.c,2514
student3572.c,3493
student5140.c,2853
student2526.c,3615
student9388.c,3791
student2749.c,3914
student2956.c,2476
student7697.c,3760
student7888.c,4795
student6787.c,3750
student3732.c,3912
student4644.c,2601
student2585.c,3004
student1146.c,1346
student3759.c,3846
student8110.c,3214
student4150.c,3079
student1639.c,2860
student9340.c,3960
student5805.c,3299
student8035.c,3012
student2447.c,3865
student3557.c,2581
student2157.c,3231
student6255.c,4104
student4296.c,3150
student8665.c,3495
student7799.c,2608
student5496.c,2394
student3678.c,1759
student6545.c,2715
student3867.c,2681
student7001.c,3132
student7341.c,3135
student1828.c,3128
student1263.c,2281
student4425.c,4156
student8192.c,3631
student8540.c,2797
student5860.c,3615
student1981.c,3029
student5304.c,10070
student6720.c,2723
student7320.c,3877
student7774.c,3122
student7597.c,3091
student6854.c,2803
student9864.c,4413
student4110.c,2496
student1302.c,3264
student9498.c,3243
student2939.c,2750
student1029.c,6304
student4934.c,3431
student8993.c,3167
student3517.c,3816
student9805.c,3077
student1943.c,3481
student5435.c,2877
student1180.c,3058
student6705.c,2827
student4682.c,2944
student1477.c,3847
student3421.c,3078
student7258.c,2825
student6594.c,2787
student4863.c,2658
student7173.c,2821
student6790.c,2911
student6008.c,3458
student4026.c,3067
student5562.c,3388
student1483.c,3366
student4185.c,2747
student5649.c,5661
student8576.c,2839
student4495.c,2651
student2498.c,2693
student4659.c,2849
student8532.c,4375
student5172.c,10679
student1624.c,2791
student4519.c,2582
student4343.c,2607
student8043.c,4711
student8923.c,3405
student5403.c,3818
student6248.c,4292
student5468.c,3167
student2086.c,2696
student5378.c,4001
student5603.c,2901
student6227.c,2868
student4128.c,3207
student8753.c,2702
student4438.c,4046
student7090.c,2841
student3171.c,3008
student8863.c,3020
student1424.c,3195
student6042.c,3761
student6029.c,2883
student5939.c,4813
student8419.c,2693
student5236.c,2836
student2340.c,6201
student9095.c,2548
student8846.c,2702
student3500.c,3908
student8085.c,3299
student6656.c,2833
student9391.c,3473
student3350.c,2519
student5581.c,2597
student7891.c,3160
student6516.c,2946
student4043.c,2757
student3071.c,4264
student9238.c,6890
student3425.c,1740
student2221.c,3753
student3331.c,2785
student2675.c,2581
student9113.c,3112
student3186.c,4375
student5867.c,3824
student4647.c,3229
student9207.c,4441
student7773.c,4674
student8317.c,3344
student3535.c,3512
student7080.c,3761
student4852.c,2674
student2704.c,3366
student5226.c,4703
student5695.c,2856
student8195.c,3741
student3288.c,2611
student5122.c,15636
student9946.c,4094
student9676.c,3123
student1364.c,4235
student4059.c,3272
student5636.c,2702
student5829.c,2581
student2035.c,3241
student7180.c,3301
student7673.c,2693
student3631.c,3057
student5713.c,3209
student2486.c,3902
student5268.c,3058
student8157.c,2869
student8357.c,3268
student6913.c,3533
student9923.c,3629
student3841.c,8179
student2371.c,2829
student9538.c,4001
student6018.c,2543
student6706.c,2908
student7616.c,3453
student4036.c,3322
student4526.c,3068
student5659.c,3544
student4195.c,4856
student9476.c,3746
student8295.c,3833
student2254.c,2832
student9385.c,2705
student4766.c,3126
student2210.c,4022
student3610.c,3304
student5222.c,4151
student5185.c,5401
student1120.c,3150
student2830.c,3102
student4095.c,3336
student7985.c,3026
student5162.c,2834
student8319.c,3030
student3671.c,3374
student9438.c,3472
student2335.c,2960
student4628.c,2723
student5863.c,4126
student6484.c,4001
student9823.c,4994
student2421.c,4085
student5413.c,2610
student3165.c,4217
student8747.c,2922
student3386.c,3109
