Name,CharCount
student5284.cpp,315
student4824.cpp,1373
student1021.cpp,1561
student8011.cpp,315
student3178.cpp,3203
student1009.cpp,37
student8993.cpp,1561
student9864.cpp,805
student9870.cpp,315
student5904.cpp,315
student1237.cpp,3107
student6558.cpp,2855
student1551.cpp,2190
student9125.cpp,315
student6216.cpp,3124
student1579.cpp,1235
student4415.cpp,315
student2886.cpp,2190
student8367.cpp,315
student4575.cpp,1118
student2676.cpp,3345
student3568.cpp,2339
student6410.cpp,2198
student6376.cpp,315
student5496.cpp,2270
student3756.cpp,2805
student4011.cpp,2809
student5468.cpp,9116
student7525.cpp,1201
student8819.cpp,1940
student2111.cpp,2358
student6363.cpp,2085
student1424.cpp,315
student5695.cpp,2827
student4414.cpp,315
student3421.cpp,278
student8560.cpp,2550
student5939.cpp,1359
student6001.cpp,315
student2267.cpp,3097
student8986.cpp,315
student8776.cpp,2500
student6029.cpp,2020
student8789.cpp,4848
student7492.cpp,315
student1793.cpp,388
student5287.cpp,3175
student6956.cpp,315
student4628.cpp,2665
student5536.cpp,4439
student8006.cpp,2306
student6995.cpp,315
student5244.cpp,1877
student2503.cpp,3072
student7123.cpp,315
student8576.cpp,315
student3423.cpp,846
student1220.cpp,2445
student4416.cpp,2543
student3594.cpp,1769
student7080.cpp,2160
student3557.cpp,633
student5132.cpp,707
student8416.cpp,509
student8370.cpp,315
student7043.cpp,315
student2675.cpp,2339
student3219.cpp,1480
student7255.cpp,68
student1624.cpp,315
student4748.cpp,2530
student2477.cpp,2149
student2463.cpp,315
student6604.cpp,315
student7297.cpp,315
student4577.cpp,3204
student3542.cpp,2732
student2648.cpp,1805
student7678.cpp,315
student7888.cpp,315
student3436.cpp,315
student3350.cpp,3317
student1547.cpp,2046
student9325.cpp,4447
student9443.cpp,1985
student4167.cpp,1337
student6002.cpp,1192
student1037.cpp,315
student3807.cpp,219
student1976.cpp,315
student7485.cpp,2039
student1966.cpp,3925
student7495.cpp,315
student9447.cpp,3647
student6774.cpp,2335
student5533.cpp,1466
student4639.cpp,315
student8598.cpp,2862
student7697.cpp,2578
student2704.cpp,1235
student7085.cpp,3100
student2664.cpp,315
student7293.cpp,1776
student6172.cpp,4462
student2472.cpp,2325
student4771.cpp,315
student3023.cpp,315
student1620.cpp,1769
student7537.cpp,9116
student1146.cpp,315
student4016.cpp,1710
student4770.cpp,3224
student8638.cpp,388
student2498.cpp,315
student8412.cpp,3210
student2895.cpp,618
student5122.cpp,212
student7735.cpp,2629
student6403.cpp,315
student7709.cpp,2382
student2117.cpp,931
student7090.cpp,3000
student9095.cpp,315
student9081.cpp,3167
student1542.cpp,3176
student7655.cpp,3317
student8566.cpp,315
student4412.cpp,4098
student1581.cpp,1140
student8599.cpp,2403
student3631.cpp,1596
student4638.cpp,315
student7443.cpp,315
student2513.cpp,37
student6007.cpp,315
student5268.cpp,1235
student8957.cpp,2522
student3182.cpp,315
student6011.cpp,1710
student3169.cpp,3295
student2539.cpp,2629
student5915.cpp,315
student1583.cpp,3412
student1597.cpp,4447
student4389.cpp,1373
student7119.cpp,2562
student3425.cpp,937
student9097.cpp,3207
student5861.cpp,4705
student2868.cpp,3162
student1352.cpp,315
student7051.cpp,642
student3551.cpp,5130
student6824.cpp,315
student1193.cpp,315
student3790.cpp,3210
student4772.cpp,3029
student9524.cpp,5027
