Name,CharCount
student3701.c,1380
student2755.c,1476
student8794.c,1161
student1465.c,2411
student1192.c,1093
student9318.c,1370
student4163.c,2668
student1482.c,1320
student4473.c,1078
student1725.c,1813
student4108.c,1207
student7119.c,1303
student8006.c,1144
student7956.c,1373
student7485.c,1014
student7232.c,998
student6776.c,1270
student4456.c,1318
student2574.c,1369
student3483.c,909
student4639.c,1061
student8552.c,1341
student2634.c,1117
student6109.c,1388
student8029.c,1394
student6419.c,1476
student4280.c,982
student8363.c,1028
student6617.c,1177
student1915.c,1321
student4903.c,934
student7013.c,2601
student5957.c,1093
student2965.c,1140
student2821.c,1006
student9358.c,1429
student6303.c,1505
student6613.c,997
student8367.c,3150
student3315.c,1275
student7507.c,1098
student9972.c,1338
student9352.c,964
student5529.c,2424
student2900.c,953
student1110.c,1011
student6122.c,1314
student1688.c,1372
student8069.c,1169
student2364.c,1081
student4949.c,886
student8909.c,1505
student3560.c,1323
student3424.c,1634
student4416.c,1061
student8329.c,1442
student2160.c,1146
student2925.c,968
student9463.c,1547
student8518.c,1127
student1375.c,1126
student2886.c,1076
student6877.c,1240
student3411.c,1253
student2155.c,1039
student1845.c,1044
student5533.c,1996
student7823.c,1022
student8957.c,947
student7713.c,1040
student4273.c,1202
student5673.c,1614
student2351.c,1734
student8118.c,940
student1571.c,1657
student6053.c,1471
student7980.c,1349
student4016.c,876
student8819.c,1079
student5612.c,1353
student3900.c,1163
student2197.c,1076
student4602.c,1123
student4959.c,1320
student2664.c,1189
student5129.c,1630
student9163.c,969
student6507.c,1319
student3715.c,1394
student5263.c,922
student8780.c,1075
student4237.c,1001
student5284.c,1019
student7948.c,1312
student6357.c,1618
student7678.c,1013
student2896.c,939
student2111.c,1852
student9758.c,1200
student4377.c,946
student1021.c,1767
student8133.c,1151
student5573.c,1413
student8580.c,945
student6973.c,3240
student9673.c,1101
student8337.c,1100
student3634.c,1110
student8139.c,1214
student2234.c,1063
student8152.c,1535
student2464.c,1173
student7802.c,1163
student7495.c,973
student5512.c,945
student7249.c,1447
student4469.c,2171
student9949.c,1092
student1188.c,1285
student1200.c,1315
student7085.c,1140
student5412.c,1431
student6259.c,1095
student6462.c,1369
student4290.c,1560
student5380.c,1033
student4780.c,1568
student6743.c,1389
student6728.c,2888
student3415.c,1151
student8480.c,1139
student6547.c,1443
student6403.c,1478
student2831.c,1098
student7457.c,1022
student3301.c,1379
student2645.c,1586
student2701.c,1352
student9458.c,1055
student1278.c,1126
student7911.c,996
student5399.c,1066
student1833.c,1318
student9589.c,1348
student8189.c,1146
student5741.c,1091
student4825.c,1306
student3116.c,1082
student4124.c,1567
student5170.c,1101
student3406.c,1305
student1581.c,1484
student2142.c,0
student9624.c,1197
student8224.c,925
student8670.c,1040
student7704.c,968
student9998.c,1646
student1132.c,903
student1422.c,895
student7298.c,1661
student6410.c,1419
student1466.c,1143
student8430.c,1262
student1176.c,1178
student8797.c,1001
student6960.c,1343
student3442.c,1071
student6824.c,1736
student6571.c,2424
student7392.c,827
student8599.c,1063
student1313.c,1094
student7665.c,2202
student9601.c,939
student8089.c,1202
student6631.c,1087
student3567.c,1541
student9931.c,1103
student3133.c,1072
student3077.c,1951
student4389.c,1547
student2477.c,1247
student5789.c,1318
student5355.c,2207
student3978.c,1125
student1547.c,1066
student4415.c,966
student4105.c,1770
student1317.c,1450
student9315.c,1226
student5624.c,1173
student4804.c,1016
student8124.c,1282
student9524.c,2001
student7540.c,1100
student5420.c,1547
student8774.c,1221
student4888.c,1079
student8264.c,1495
student5397.c,2426
student9097.c,814
student8497.c,1269
student1649.c,898
student4430.c,1392
student8187.c,1155
student3546.c,1005
student6550.c,1122
student3872.c,2233
student4770.c,1383
student5660.c,1894
student2652.c,922
student1013.c,1330
student3258.c,1186
student8886.c,4376
student2267.c,1506
student7386.c,1401
student6999.c,1651
student3594.c,1723
student7165.c,1852
student1738.c,1964
student2463.c,1112
student7671.c,1522
student7735.c,1178
student3790.c,1037
student3206.c,1065
student4814.c,1419
student9160.c,1609
student5904.c,1459
student3329.c,2655
student8854.c,1134
student1266.c,1102
student4420.c,1413
student6874.c,1175
student4850.c,1247
student8393.c,1096
student3306.c,1020
student2508.c,1016
student4155.c,1018
student2567.c,1146
student9821.c,1214
student8199.c,1321
student8892.c,1029
student9141.c,1015
student3943.c,1118
student9451.c,2202
student8051.c,813
student7125.c,1423
student1453.c,1502
student5470.c,1099
student1772.c,956
student1326.c,1304
student8724.c,1123
student3756.c,1310
student8520.c,1683
student1066.c,1039
student6054.c,1240
student4587.c,1775
student1476.c,1664
student6010.c,1287
student2959.c,1314
student2406.c,1041
