Name,CharCount
student5284.cpp,1673
student4824.cpp,3241
student1021.cpp,2523
student8011.cpp,2126
student3178.cpp,4708
student1009.cpp,1874
student8993.cpp,2523
student9864.cpp,977
student9870.cpp,315
student5904.cpp,315
student1237.cpp,2123
student6558.cpp,1701
student1551.cpp,3003
student9125.cpp,315
student6216.cpp,1761
student1579.cpp,2590
student2886.cpp,3003
student8367.cpp,1142
student4575.cpp,3865
student2676.cpp,3401
student3568.cpp,2703
student6410.cpp,2071
student6376.cpp,315
student5496.cpp,3046
student3756.cpp,2322
student4011.cpp,1904
student5468.cpp,2316
student7525.cpp,315
student8819.cpp,878
student2111.cpp,2366
student6363.cpp,1811
student1424.cpp,1708
student5695.cpp,1191
student4414.cpp,37
student3421.cpp,315
student8560.cpp,1692
student5939.cpp,2371
student6001.cpp,315
student2267.cpp,2849
student8986.cpp,315
student8776.cpp,315
student6029.cpp,3490
student8789.cpp,5833
student3186.cpp,781
student7492.cpp,1187
student1793.cpp,2038
student5287.cpp,2107
student6956.cpp,1456
student4628.cpp,1823
student5536.cpp,4091
student8006.cpp,2058
student5244.cpp,1860
student2503.cpp,2908
student7123.cpp,1829
student8576.cpp,959
student3423.cpp,3763
student1220.cpp,1767
student4416.cpp,2591
student3594.cpp,1752
student7080.cpp,2639
student3557.cpp,2001
student5132.cpp,1561
student8416.cpp,1594
student8370.cpp,315
student7043.cpp,315
student2675.cpp,2703
student3219.cpp,1061
student7255.cpp,239
student1624.cpp,315
student4748.cpp,2057
student2477.cpp,2208
student2463.cpp,315
student6604.cpp,315
student7297.cpp,1436
student4577.cpp,4271
student3542.cpp,2523
student2648.cpp,315
student7678.cpp,315
student7888.cpp,6546
student3436.cpp,315
student3350.cpp,2253
student1547.cpp,3321
student9325.cpp,2962
student9443.cpp,1739
student4167.cpp,564
student6002.cpp,315
student3807.cpp,324
student1976.cpp,315
student7485.cpp,2206
student1966.cpp,2619
student9447.cpp,3508
student6774.cpp,4033
student5533.cpp,2347
student4639.cpp,807
student8598.cpp,2035
student7697.cpp,1511
student2704.cpp,2590
student7085.cpp,773
student2664.cpp,315
student7293.cpp,3588
student6172.cpp,5414
student2472.cpp,2157
student4771.cpp,315
student3023.cpp,315
student1620.cpp,1752
student7537.cpp,2316
student1146.cpp,315
student4016.cpp,1923
student4770.cpp,2278
student8412.cpp,2009
student2895.cpp,2098
student5122.cpp,212
student7735.cpp,2261
student6403.cpp,3497
student7709.cpp,2342
student2117.cpp,315
student7090.cpp,2340
student9095.cpp,315
student9081.cpp,2840
student1542.cpp,1799
student7655.cpp,2253
student8566.cpp,1722
student4412.cpp,2679
student1581.cpp,3348
student8599.cpp,1366
student3631.cpp,4027
student4638.cpp,315
student7443.cpp,807
student2513.cpp,1874
student6007.cpp,3758
student5268.cpp,2590
student8957.cpp,1842
student3182.cpp,69
student6011.cpp,1923
student3169.cpp,2659
student2511.cpp,568
student2539.cpp,2261
student2908.cpp,1683
student5915.cpp,315
student1583.cpp,3049
student1597.cpp,2962
student4389.cpp,3241
student7119.cpp,2809
student3425.cpp,1829
student9097.cpp,2579
student5861.cpp,759
student2868.cpp,2191
student1352.cpp,315
student7051.cpp,451
student3551.cpp,2783
student6824.cpp,1482
student1193.cpp,2028
student3790.cpp,2009
student4772.cpp,2176
student6617.cpp,1683
student9524.cpp,3540
student2464.cpp,3007
student4798.cpp,315
student1192.cpp,315
student8363.cpp,315
student4559.cpp,2619
student2896.cpp,315
student1390.cpp,315
student5860.cpp,3348
student7911.cpp,1724
student3424.cpp,315
student4377.cpp,315
student1582.cpp,315
student6992.cpp,782
student8997.cpp,1596
student6010.cpp,475
student6776.cpp,2905
student9486.cpp,37
student5581.cpp,2566
student6088.cpp,1582
student7382.cpp,315
student3133.cpp,315
student3899.cpp,315
student7341.cpp,3422
student7369.cpp,315
student6711.cpp,2001
student6705.cpp,315
student7180.cpp,315
student1297.cpp,185
student8264.cpp,1767
student1446.cpp,2962
student9998.cpp,1561
student8853.cpp,315
student5378.cpp,315
student2371.cpp,1643
student2364.cpp,315
student9557.cpp,894
student5345.cpp,315
student7546.cpp,0
student7778.cpp,878
student5621.cpp,2404
student6328.cpp,728
student1269.cpp,315
student4305.cpp,2530
student3442.cpp,310
student8503.cpp,315
student2953.cpp,2609
