Name,CharCount
student3701.c,377
student2755.c,346
student8794.c,307
student1465.c,320
student8067.c,359
student5358.c,390
student1192.c,335
student9318.c,305
student4163.c,373
student1482.c,375
student4473.c,367
student1725.c,289
student4108.c,291
student7119.c,344
student8006.c,388
student7956.c,302
student7485.c,388
student7232.c,295
student6776.c,368
student4456.c,319
student2574.c,300
student3483.c,287
student4639.c,297
student8552.c,355
student2634.c,292
student6109.c,340
student8029.c,341
student6419.c,331
student4280.c,300
student8363.c,328
student6617.c,293
student1915.c,376
student4903.c,372
student7013.c,325
student5957.c,449
student2965.c,379
student2821.c,319
student9358.c,365
student6303.c,323
student6613.c,363
student3315.c,343
student7443.c,318
student7507.c,289
student9972.c,317
student9352.c,303
student5529.c,316
student9569.c,313
student2900.c,401
student2800.c,482
student1110.c,294
student6122.c,317
student1688.c,362
student8069.c,428
student2364.c,365
student4949.c,398
student8909.c,320
student3560.c,330
student3424.c,379
student4416.c,297
student8329.c,355
student2160.c,384
student2925.c,295
student9463.c,281
student8518.c,283
student1375.c,316
student2886.c,302
student6877.c,364
student3411.c,325
student2155.c,296
student1845.c,441
student5533.c,382
student7823.c,374
student8957.c,343
student7713.c,401
student4273.c,392
student5673.c,347
student2351.c,334
student8118.c,303
student1571.c,446
student3925.c,305
student6053.c,383
student7980.c,379
student4016.c,388
student8819.c,370
.DS_Store,2048
student5612.c,306
student3900.c,285
student2197.c,302
student4602.c,285
student4959.c,375
student2664.c,319
student5129.c,322
student9163.c,339
student9473.c,330
student6507.c,343
student3715.c,393
student5263.c,377
student8780.c,283
student4237.c,276
student5284.c,296
student7948.c,283
student6357.c,406
student7678.c,311
student2896.c,288
student2111.c,357
student9758.c,429
student4377.c,436
student1021.c,303
student8133.c,373
student5573.c,301
student8580.c,296
student6973.c,374
student3515.c,313
student9673.c,374
student8337.c,384
student3634.c,360
student8139.c,278
student2234.c,392
student8152.c,410
student2464.c,341
student7802.c,359
student5512.c,289
student7249.c,277
student4469.c,379
student9949.c,355
student1188.c,293
student6332.c,309
student1200.c,313
student7085.c,349
student5412.c,330
student6259.c,358
student6462.c,340
student4290.c,385
student5380.c,285
student4780.c,349
student6743.c,293
student3551.c,318
student6728.c,339
student3415.c,373
student8480.c,321
student6547.c,304
student6403.c,378
student2831.c,295
student7457.c,374
student3301.c,289
student2645.c,303
student2701.c,433
student9458.c,338
student1278.c,301
student7911.c,277
student5399.c,335
student1833.c,281
student9589.c,371
student8189.c,384
student5741.c,291
student4825.c,550
student3116.c,362
student4124.c,317
student5170.c,337
student3406.c,371
student1581.c,408
student2142.c,356
student9624.c,360
student8224.c,283
student8670.c,316
student7704.c,293
student9998.c,379
student1132.c,319
student1422.c,378
student7298.c,391
student6410.c,331
